mag_sample_alias	sample_accession	biosample_accession	status	holdUntilDate
DOGMAG_ANI95_MAG091	ERS31049538	SAMEA123300714	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG092	ERS31049539	SAMEA123300715	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG093	ERS31049540	SAMEA123300716	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG094	ERS31049541	SAMEA123300717	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG095	ERS31049542	SAMEA123300718	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG096	ERS31049543	SAMEA123300719	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG097	ERS31049544	SAMEA123300720	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG098	ERS31049545	SAMEA123300721	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG099	ERS31049546	SAMEA123300722	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG100	ERS31049547	SAMEA123300723	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG101	ERS31049548	SAMEA123300724	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG102	ERS31049549	SAMEA123300725	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG103	ERS31049550	SAMEA123300726	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG104	ERS31049551	SAMEA123300727	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG105	ERS31049552	SAMEA123300728	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG106	ERS31049553	SAMEA123300729	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG107	ERS31049554	SAMEA123300730	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG108	ERS31049555	SAMEA123300731	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG109	ERS31049556	SAMEA123300732	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG110	ERS31049557	SAMEA123300733	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG111	ERS31049558	SAMEA123300734	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG112	ERS31049559	SAMEA123300735	PRIVATE	2028-06-26+01:00
