public_assembly_id	assembly_file_public	basalt_assembly_index	assembly_class	assembler	source_manifest	source_set	read_entry_number	read_role	public_sample_id	public_read_file	read_file_md5	ena_study	instrument_model	library_name	library_layout	library_strategy	read_platform	source_project	notes
DOGMAG_ASM015	DOGMAG_ASM015.fasta	15	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	RR_F_PM4_240331	RR_F_PM4_240331.fastq.gz	d4a904306e39b77f25158072fb2abbb1	PRJEB115259	PromethION	RR_F_PM4_240331_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM016	DOGMAG_ASM016.fasta	16	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	SRTP_G_PF1_230226	SRTP_G_PF1_230226.fastq.gz	de4b5a84371c54933ad5b3e8b28a1adc	PRJEB115259	PromethION	SRTP_G_PF1_230226_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM016	DOGMAG_ASM016.fasta	16	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	SRTP_G_PF1_231130	SRTP_G_PF1_231130.fastq.gz	73ad2729e943528c3b3106f6395add72	PRJEB115259	PromethION	SRTP_G_PF1_231130_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM017	DOGMAG_ASM017.fasta	17	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	LPL_0_AF1_230502	LPL_0_AF1_230502.fastq.gz	2a8cfdb79765a64b90773f081aaee539	PRJEB115259	PromethION	LPL_0_AF1_230502_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM017	DOGMAG_ASM017.fasta	17	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	LPL_0_AF1_230729	LPL_0_AF1_230729.fastq.gz	2e614809c28ac26109b73ef0b446db88	PRJEB115259	PromethION	LPL_0_AF1_230729_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM018	DOGMAG_ASM018.fasta	18	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	RR_0_AF2_230105	RR_0_AF2_230105.fastq.gz	e5198aeda19e852276493843c9b6ae02	PRJEB115259	PromethION	RR_0_AF2_230105_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM018	DOGMAG_ASM018.fasta	18	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	RR_0_AF2_230507	RR_0_AF2_230507.fastq.gz	db0322d6ae81d44fef6cfa557e3fe7f1	PRJEB115259	PromethION	RR_0_AF2_230507_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM019	DOGMAG_ASM019.fasta	19	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	SRTP_H_PM2_230604	SRTP_H_PM2_230604.fastq.gz	004a6c2c4f954460190d470dc848e843	PRJEB115259	PromethION	SRTP_H_PM2_230604_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM019	DOGMAG_ASM019.fasta	19	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	SRTP_H_PM2_231130	SRTP_H_PM2_231130.fastq.gz	f860eecea5bd889ca0632ab661993894	PRJEB115259	PromethION	SRTP_H_PM2_231130_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM020	DOGMAG_ASM020.fasta	20	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_plus_serteperti_sixbarcode	1	long_read	SRTP_0_AF1_230226	SRTP_0_AF1_230226.fastq.gz	561015e0ed5866747c4ecb79ffc61528	PRJEB115259	PromethION	SRTP_0_AF1_230226_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM020	DOGMAG_ASM020.fasta	20	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_plus_serteperti_sixbarcode	2	long_read	SRTP_0_AF1_231125	SRTP_0_AF1_231125.fastq.gz	dfd2584a2839769ddbcbbb7bfd8e5835	PRJEB115259	PromethION	SRTP_0_AF1_231125_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM020	DOGMAG_ASM020.fasta	20	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_plus_serteperti_sixbarcode	3	long_read	SRTP_LR_DOG03	SRTP_LR_DOG03_HMW_BC03.fastq.gz	58bad1b0910c309ca8fb439234e6fe4e	PRJEB115259	MinION	SRTP_LR_DOG03_HMW_BC03_ONT_WGS	SINGLE	WGS	long_read	ENA_PRJEB115259_long_read	
